time,temp,humidity,precip,wind
2025-09-19T00:00,23.8,95,0.1,11.5
2025-09-19T01:00,24.9,90,0.1,11.7
2025-09-19T02:00,25.8,87,0.0,10.5
2025-09-19T03:00,27.0,80,0.0,12.7
2025-09-19T04:00,27.9,75,0.1,15.0
2025-09-19T05:00,28.6,71,0.1,16.1
2025-09-19T06:00,29.1,69,0.1,16.7
2025-09-19T07:00,29.3,71,0.1,17.1
2025-09-19T08:00,29.0,72,0.1,17.3
2025-09-19T09:00,28.6,73,0.2,17.7
2025-09-19T10:00,28.1,76,0.1,17.5
2025-09-19T11:00,27.6,78,0.0,14.8
2025-09-19T12:00,27.1,80,0.0,16.7
2025-09-19T13:00,26.8,83,0.0,13.7
2025-09-19T14:00,26.6,85,0.0,13.9
2025-09-19T15:00,26.4,86,0.0,11.5
2025-09-19T16:00,25.9,88,0.0,12.0
2025-09-19T17:00,25.5,89,0.2,10.5
2025-09-19T18:00,25.0,91,0.1,11.8
2025-09-19T19:00,24.7,92,0.0,10.9
2025-09-19T20:00,24.7,92,0.0,11.2
2025-09-19T21:00,24.6,93,0.0,10.1
2025-09-19T22:00,24.5,92,0.0,11.7
2025-09-19T23:00,24.4,92,0.1,9.4
2025-09-20T00:00,24.5,92,0.1,11.1
2025-09-20T01:00,25.1,91,0.0,10.5
2025-09-20T02:00,25.9,87,0.0,8.8
2025-09-20T03:00,27.4,77,0.1,11.9
2025-09-20T04:00,28.6,70,0.1,12.5
2025-09-20T05:00,29.6,66,0.1,14.8
2025-09-20T06:00,30.0,64,0.0,15.9
2025-09-20T07:00,29.9,65,0.0,18.1
2025-09-20T08:00,29.7,66,0.1,19.9
2025-09-20T09:00,29.4,68,0.1,20.5
2025-09-20T10:00,29.1,69,0.1,20.1
2025-09-20T11:00,28.3,74,0.0,18.7
2025-09-20T12:00,27.3,81,0.0,16.9
2025-09-20T13:00,27.1,82,0.0,13.9
2025-09-20T14:00,26.8,85,0.0,12.9
2025-09-20T15:00,26.6,85,0.0,13.4
2025-09-20T16:00,26.4,85,0.0,12.2
